bookID,title,authors,average_rating,isbn,isbn13
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,0380720442,9.78038E+12
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,0821925326,9.78082E+12
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,9.78044E+12
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,0606105263,9.78061E+12
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,0751506435,9.78075E+12
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9.78006E+12
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,0743499344,9.78074E+12
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,0765313405,9.78077E+12
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,9.7814E+12
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9.7814E+12
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,9.7814E+12
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,0679732527,9.78068E+12
231,I am Charlotte Simmons,Tom Wolfe,3.42,0312424442,9.78031E+12
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,0806930772,9.78081E+12
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,0140366601,9.78014E+12
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,0811201120,9.78081E+12
247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9.7808E+12
249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,0802131786,9.7808E+12
250,Tropic of Capricorn,Henry Miller,3.78,0802151825,9.7808E+12
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,0802151787,9.7808E+12
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,0802151809,9.7808E+12
253,The Air-Conditioned Nightmare,Henry Miller,3.83,0811201066,9.78081E+12
264,The Portrait of a Lady,Henry James/Patricia Crick,3.78,0141439637,9.78014E+12
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,9.78159E+12
277,Writing,Marguerite Duras,3.75,1571290532,9.78157E+12
278,The War,Marguerite Duras/Barbara Bray,3.85,1565842219,9.78157E+12
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,0394743040,9.78039E+12
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1851681825,9.78185E+12
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,156656249X,9.78157E+12
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,9.78014E+12
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,0394431243,9.78039E+12
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,0806501901,9.78081E+12
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,067943920X,9.78068E+12
295,Treasure Island,Robert Louis Stevenson,3.83,0753453800,9.78075E+12
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,1402714572,9.7814E+12
297,Treasure Island,Robert Louis Stevenson,3.83,1416500294,9.78142E+12
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,0689854684,9.78069E+12
299,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,0517221144,9.78052E+12
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,1577658051,9.78158E+12
313,100 Years of Lynchings,Ralph Ginzburg,4.61,0933121180,9.78093E+12
324,Cien años de soledad,Gabriel García Márquez,4.07,0785950109,9.78079E+12
330,On Beyond Zebra!,Dr. Seuss,4.04,0394800842,9.78039E+12
332,The Wedding Clause,Debbie Raleigh,3.6,0821778250,9.78082E+12
333,The Zebra Wall,Kevin Henkes,3.44,0060733039,9.78006E+12
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,9.78843E+12
348,The Door Into Summer,Robert A. Heinlein,4.01,0345413997,9.78035E+12
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,0441788386,9.78044E+12
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,0441748600,9.78044E+12
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,0345316509,9.78035E+12
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,0765314932,9.78077E+12
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,0671742515,9.78067E+12
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,0345455290,9.78035E+12
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,0345476514,9.78035E+12
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,0345368436,9.78035E+12
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,1417622857,9.78142E+12
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,0573650969,9.78057E+12
385,On Bullshit,Harry G. Frankfurt,3.57,0691122946,9.78069E+12
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,0393329402,9.78039E+12
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,0671867423,9.78067E+12
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,0395883970,9.7804E+12
399,Underworld,Don DeLillo,3.92,0684848155,9.78068E+12
400,Libra,Don DeLillo,3.99,0140156046,9.78014E+12
403,Americana,Don DeLillo,3.43,0140119485,9.78014E+12
404,Running Dog,Don DeLillo,3.43,0679722947,9.78068E+12
406,Cosmopolis,Don DeLillo,3.22,0743244257,9.78074E+12
407,Great Jones Street,Don DeLillo,3.48,0140179178,9.78014E+12
408,The Names,Don DeLillo,3.64,0679722955,9.78068E+12
409,Against the Day,Thomas Pynchon,4.13,159420120X,9.78159E+12
410,V.,Thomas Pynchon,3.96,0060930217,9.78006E+12
411,The Crying of Lot 49,Thomas Pynchon,3.69,0060931671,9.78006E+12
412,Gravity's Rainbow,Thomas Pynchon,4.01,0140283382,9.78014E+12
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,0312423209,9.78031E+12
414,Vineland,Thomas Pynchon,3.69,0141180633,9.78014E+12
415,Gravity's Rainbow,Thomas Pynchon,4.01,0143039946,9.78014E+12
416,Slow Learner: Early Stories,Thomas Pynchon,3.5,0316724432,9.78032E+12
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,0140189300,9.78014E+12
420,The Year of Magical Thinking,Joan Didion,3.89,140004314X,9.7814E+12
421,The White Album,Joan Didion,4.17,0374522219,9.78037E+12
422,A Book of Common Prayer,Joan Didion,3.8,0679754865,9.78068E+12
423,Where I Was From,Joan Didion,3.86,0679752862,9.78068E+12
424,Slouching Towards Bethlehem,Joan Didion,4.21,0374521727,9.78037E+12
425,Democracy,Joan Didion,3.81,0679754857,9.78068E+12
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,0307264874,9.78031E+12
428,Play It As It Lays,Joan Didion/David Thomson,3.87,0374529949,9.78037E+12
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,0143039830,9.78014E+12
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,0140097317,9.78014E+12
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,014009735X,9.78014E+12
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,0940650762,9.78094E+12
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,0963188925,9.78096E+12
446,The Brooklyn Follies,Paul Auster,3.84,0312426232,9.78031E+12
447,Moon Palace,Paul Auster,3.94,0140115854,9.78014E+12
453,The Music of Chance,Paul Auster,3.9,0140154078,9.78014E+12
454,Travels in the Scriptorium,Paul Auster,3.23,0805081453,9.78081E+12
456,Leviathan,Paul Auster,3.96,0140178139,9.78014E+12
463,The Red Notebook: True Stories,Paul Auster,3.77,0811214982,9.78081E+12
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,2742741461,9.78274E+12
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,0143036556,9.78014E+12
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,0446579785,9.78045E+12
477,Collapse of Complex Societies,Joseph A. Tainter,4.15,052138673X,9.78052E+12
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,0743203046,9.78074E+12
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,034543871X,9.78035E+12
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,0393318281,9.78039E+12
493,My Inventions,Nikola Tesla,4.01,1599869942,9.7816E+12
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,0806519606,9.78081E+12
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,0822549204,9.78082E+12
498,Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,0932813860,9.78093E+12
511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,0373792689,9.78037E+12
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,0974514055,9.78097E+12
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,0764585975,9.78076E+12
524,Lord of the Flies,William Golding,3.68,0307281701,9.78031E+12
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,0812969707,9.78081E+12
534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,0060255080,9.78006E+12
537,The Lovely Bones,Alice Sebold,3.81,0330485385,9.78033E+12
538,The Lovely Bones,Alice Sebold,3.81,159413023X,9.78159E+12
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,0345360354,9.78035E+12
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,0321303474,0785342303476
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,0321430840,9.78032E+12
576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,3822840858,9.78382E+12
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,0743264460,9.78074E+12
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,0743236017,9.78074E+12
619,Vice (V  #8),Jane Feather,3.51,0553572490,9.78055E+12
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,0060589469,9.78006E+12
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,0802789471,9.7808E+12
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,0688060692,9.78069E+12
643,Motorcycle Basics Techbook,John Harold Haynes,3.85,185960515X,9.78186E+12
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,1592530877,9.78159E+12
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,0451528808,9.78045E+12
656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,0192833987,9.78019E+12
658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,0486451380,9.78049E+12
662,Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,0452011876,9.78045E+12
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,0451163087,9.78045E+12
664,The Fountainhead,Ayn Rand,3.87,0452286751,9.78045E+12
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,0451163931,9.78045E+12
667,Anthem,Ayn Rand,3.63,0452281253,9.78045E+12
668,We the Living,Ayn Rand/Leonard Peikoff,3.91,0451187849,9.78045E+12
669,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88,0451147952,9.78045E+12
670,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96,0452274044,9.78045E+12
672,Sailing for Dummies,J.J. Isler/Peter Isler,3.95,0471791431,9.78047E+12
675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,0553803816,9.78055E+12
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,0375755195,9.78038E+12
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,1592283195,9.78159E+12
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,0975599518,9.78098E+12
685,The Natural,Bernard Malamud/Kevin Baker,3.63,0374502005,9.78037E+12
698,Digging to America,Anne Tyler,3.55,0307263940,9.78031E+12
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,3.77,0312405545,9.78031E+12
702,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,019517013X,9.7802E+12
703,The Plot Against America,Philip Roth,3.77,1400079497,9.7814E+12
707,Naked Pictures of Famous People,Jon   Stewart,3.59,0688171621,9.78069E+12
759,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19,0060932686,9.78006E+12
762,Crónica de una muerte anunciada,Gabriel García Márquez,3.97,1400034957,9.7814E+12
763,Cien años de soledad,Gabriel García Márquez,4.07,0307350428,9.78031E+12
764,Del amor y otros demonios,Gabriel García Márquez,3.98,0307350444,9.78031E+12
765,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,3.99,140003454X,9.7814E+12
766,Memoria de mis putas tristes,Gabriel García Márquez,3.6,1400095808,9.7814E+12
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,0375708111,9.78038E+12
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,4.29,086171492X,9.78086E+12
787,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,3.75,184353584X,9.78184E+12
793,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,3.83,1740594770,9.78174E+12
797,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,4.03,8408064762,9.78841E+12
799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0,1740592050,9.78174E+12
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88,0618710531,9.78062E+12
816,Cryptonomicon,Neal Stephenson,4.25,0060512806,9.78006E+12
821,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.1,2228894168,9.78223E+12
822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,0060733357,9.78006E+12
823,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,0060593083,9.78006E+12
824,The Cobweb,Neal Stephenson/J. Frederick George,3.61,0553383442,9.78055E+12
826,The Big U,Neal Stephenson,3.25,0380816032,9.78038E+12
827,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,4.19,0553380966,9.78055E+12
828,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,3.68,0553383434,9.78055E+12
829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.2,0060833181,9.78006E+12
